(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Endgültig;;;;;;;;;;;;;;;
Stand:;14.03.2025;10:50;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Volt;10;1;23282;1,240893;1431;0,081306;1526,974144;1,159587;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Volt;10;2;16496;0,877444;4157;0,235824;296,824633;0,64162;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;MLPD;11;1;286;0,015243;265;0,015057;7,924528;0,000187;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;MLPD;11;2;576;0,030638;322;0,018267;78,881988;0,012371;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;12;1;3227;0,171994;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;12;2;2981;0,158563;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BSW;13;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BSW;13;2;64777;3,445576;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Einzelbewerber/Wählergruppe;Einzelbewerber/Wählergruppe;14;1;1273;0,067849;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;dieBasis;15;1;;;27124;1,541125;;-1,541125;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;dieBasis;15;2;;;23407;1,327865;;-1,327865;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Team Todenhöfer;16;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Team Todenhöfer;16;2;;;5305;0,30095;;-0,30095;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;ÖDP;17;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;ÖDP;17;2;;;1539;0,087307;;-0,087307;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;PdH;18;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;PdH;18;2;;;1763;0,100014;;-0,100014;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Tierschutzpartei;19;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Tierschutzpartei;19;2;;;20653;1,171633;;-1,171633;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Übrige;1000;1;;;3294;0,187158;;-0,187158;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Übrige;1000;2;;;6057;0,34361;;-0,34361;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Wahlberechtigte;-4;;1294729;;1314435;;-1,499199;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Wählende;-3;;1029038;79,479026;935040;71,136268;10,052832;8,342758;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Ungültige;-2;1;11315;1,099571;16954;1,813184;-33,260587;-0,713614;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Ungültige;-2;2;7796;0,757601;16181;1,730514;-51,820036;-0,972913;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Gültige;-1;1;1017723;98,900429;918086;98,186816;10,852687;0,713614;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Gültige;-1;2;1021242;99,242399;918859;98,269486;11,142406;0,972913;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;SPD;1;1;179547;17,64203;261408;28,47315;-31,315415;-10,831119;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;SPD;1;2;126687;12,405189;267368;29,097827;-52,616992;-16,692638;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;AfD;2;1;376846;37,028347;169977;18,514279;121,704113;18,514068;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;AfD;2;2;357361;34,992783;165342;17,994273;116,134437;16,99851;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;CDU;3;1;205786;20,220237;180669;19,678875;13,902219;0,541361;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;CDU;3;2;181956;17,817129;160103;17,42411;13,649338;0,393019;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Die Linke;4;1;144778;14,225678;116033;12,638576;24,773125;1,587102;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Die Linke;4;2;123059;12,049935;101735;11,071884;20,960338;0,978052;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FDP;5;1;29339;2,882808;66328;7,224596;-55,766795;-4,341788;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FDP;5;2;32678;3,199829;75555;8,222698;-56,749388;-5,022869;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;GRÜNE;6;1;36898;3,625544;62664;6,825504;-41,117707;-3,19996;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;GRÜNE;6;2;54719;5,358084;71956;7,831017;-23,954917;-2,472933;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Tierschutzpartei;7;1;6199;0,609105;14324;1,560202;-56,722982;-0,951098;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Tierschutzpartei;7;2;15656;1,533035;20582;2,239952;-23,933534;-0,706917;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FREIE WÄHLER;8;1;27571;2,709087;17781;1,936747;55,058771;0,77234;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FREIE WÄHLER;8;2;10814;1,058907;13344;1,452236;-18,959832;-0,393329;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Volt;9;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Volt;9;2;6350;0,621792;1904;0,207214;233,508403;0,414578;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;MLPD;10;1;1284;0,126164;1270;0,138331;1,102362;-0,012167;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;MLPD;10;2;842;0,082449;709;0,077161;18,758815;0,005288;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;11;1;6839;0,67199;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;11;2;3248;0,318044;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BSW;12;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BSW;12;2;107872;10,562824;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Einzelbewerber/Wählergruppe;Einzelbewerber/Wählergruppe;13;1;2636;0,25901;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;dieBasis;14;1;;;16019;1,744826;;-1,744826;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;dieBasis;14;2;;;16336;1,777857;;-1,777857;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Team Todenhöfer;15;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Team Todenhöfer;15;2;;;2146;0,233551;;-0,233551;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;ÖDP;16;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;ÖDP;16;2;;;1189;0,1294;;-0,1294;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;PdH;17;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;PdH;17;2;;;1277;0,138977;;-0,138977;;
